pair_id,cohort,provenance,topic,act_mean_l7_nav,act_mean_l7_op,act_mean_l7_diff,inf_mean_l7_nav,inf_mean_l7_op,inf_mean_l7_diff,l20_25_inf_share_nav,l20_25_inf_share_op,l20_25_inf_share_diff,l15_25_inf_share_nav,l15_25_inf_share_op,l15_25_inf_share_diff,mid_continuity_l7_18_nav,mid_continuity_l7_18_op,mid_continuity_l7_18_diff,inf_layer_std_nav,inf_layer_std_op,inf_layer_std_diff,inf_entropy_nav,inf_entropy_op,inf_entropy_diff,feature_ratio_l7_nav,feature_ratio_l7_op,feature_ratio_l7_diff,edges_per_node_l7_nav,edges_per_node_l7_op,edges_per_node_l7_diff,edge_posneg_l7_nav,edge_posneg_l7_op,edge_posneg_l7_diff,edge_absmean_l7_nav,edge_absmean_l7_op,edge_absmean_l7_diff,err_ratio_inf_l7_nav,err_ratio_inf_l7_op,err_ratio_inf_l7_diff,err_ratio_count_l7_nav,err_ratio_count_l7_op,err_ratio_count_l7_diff
P01,primary,author-written,paod prioritization,16.3474,15.6516,0.6958,13.7574,13.4797,0.2777,0.1866,0.1754,0.0112,0.4011,0.3902,0.0109,1.0,1.0,0.0,5.3631,5.4186,-0.0555,6.6277,6.5894,0.0383,0.6552,0.656,-0.0008,100.0294,102.9907,-2.9613,1.2412,1.2287,0.0125,0.350912,0.355997,-0.0051,0.3648,0.3695,-0.0047,0.3448,0.344,0.0008
P02,primary,author-written,paod p1 reassessment,17.1639,16.2912,0.8727,13.937,13.3831,0.5539,0.1995,0.1725,0.027,0.4246,0.3783,0.0463,1.0,1.0,0.0,5.4793,5.4672,0.0121,6.5808,6.6367,-0.0559,0.6399,0.6506,-0.0107,97.6734,106.7658,-9.0924,1.2611,1.2127,0.0484,0.365976,0.34386,0.0221,0.383,0.3778,0.0052,0.3601,0.3494,0.0107
P03,primary,author-written,patterns collective unconscious,16.7895,16.1201,0.6694,13.6723,13.6753,-0.003,0.1873,0.1774,0.0099,0.3911,0.4063,-0.0152,1.0,1.0,0.0,5.4828,5.3373,0.1455,6.4985,6.7308,-0.2323,0.6391,0.6417,-0.0026,93.8246,124.6509,-30.8263,1.2598,1.2241,0.0357,0.371947,0.312257,0.0597,0.3912,0.3817,0.0095,0.3609,0.3583,0.0026
P04,primary,author-written,russia occupation criteria,16.5872,16.29,0.2972,13.6137,13.6902,-0.0765,0.1819,0.1791,0.0028,0.3977,0.4018,-0.0041,1.0,1.0,0.0,5.4751,5.3573,0.1178,6.5598,6.6193,-0.0595,0.6134,0.6421,-0.0287,84.5874,101.3786,-16.7912,1.2393,1.2402,-0.0009,0.397487,0.362466,0.035,0.4145,0.3832,0.0313,0.3866,0.3579,0.0287
P05,primary,author-written,pe reperfusion thresholds,16.7345,15.9766,0.7579,13.6123,13.3898,0.2225,0.1795,0.1918,-0.0123,0.3701,0.3829,-0.0128,1.0,1.0,0.0,5.4507,5.619,-0.1683,6.3688,6.5977,-0.2289,0.5858,0.7126,-0.1268,71.8135,118.7874,-46.9739,1.2473,1.2703,-0.023,0.473515,0.328577,0.1449,0.4535,0.3083,0.1452,0.4142,0.2874,0.1268
P06,primary,author-written,sepsis fluid tolerance,18.1199,16.1399,1.98,13.116,13.6168,-0.5008,0.1597,0.1872,-0.0275,0.3484,0.4045,-0.0561,1.0,1.0,0.0,5.5194,5.5452,-0.0258,6.3654,6.585,-0.2196,0.4219,0.716,-0.2941,43.6877,112.0453,-68.3576,1.2438,1.262,-0.0182,0.556198,0.332602,0.2236,0.6288,0.304,0.3248,0.5781,0.284,0.2941
P07,primary,author-written,turbot calorie method,17.5581,16.3746,1.1835,14.4444,13.6634,0.781,0.2266,0.1967,0.0299,0.4583,0.3907,0.0676,1.0,1.0,0.0,5.5945,5.6863,-0.0918,6.246,6.4193,-0.1733,0.5693,0.7421,-0.1728,65.5019,103.2264,-37.7245,1.301,1.2804,0.0206,0.495198,0.386441,0.1088,0.4575,0.2746,0.1829,0.4307,0.2579,0.1728
P08,primary,author-written,ai apprenticeship ladder,16.9971,16.39,0.6071,13.9517,13.754,0.1977,0.2088,0.194,0.0148,0.4199,0.3962,0.0237,1.0,1.0,0.0,5.7621,5.6193,0.1428,6.3791,6.3789,0.0002,0.6754,0.7545,-0.0791,92.6754,110.1342,-17.4588,1.2451,1.2857,-0.0406,0.426497,0.397024,0.0295,0.3487,0.2638,0.0849,0.3246,0.2455,0.0791
P09,primary,author-written,child learning discomfort,16.8444,16.2126,0.6318,14.0893,13.4554,0.6339,0.2019,0.1643,0.0376,0.428,0.3758,0.0522,1.0,1.0,0.0,5.5325,5.3212,0.2113,6.536,6.7078,-0.1718,0.6359,0.6431,-0.0072,96.0868,105.6231,-9.5363,1.2428,1.2608,-0.018,0.38226,0.339897,0.0424,0.3845,0.3888,-0.0043,0.3641,0.3569,0.0072
P10,primary,author-written,ai homework cognitive ownership,16.8709,16.228,0.6429,14.1848,13.5018,0.683,0.2201,0.1696,0.0505,0.4257,0.3822,0.0435,1.0,1.0,0.0,5.6507,5.3675,0.2832,6.4543,6.6786,-0.2243,0.6469,0.6618,-0.0149,82.1218,112.5467,-30.4249,1.2422,1.2248,0.0174,0.449194,0.333942,0.1153,0.3682,0.3654,0.0028,0.3531,0.3382,0.0149
