topic,group,csv_l7_diff,nav_file,op_file,L1_diff,L3_diff,L5_diff,L7_diff,L9_diff,L11_diff
petya paod prioritization,demonstrative,0.6958,027_petya_paod_prioritization_nav.json,027_petya_paod_prioritization_op.json,-0.1751004203117308,0.2847354390750638,0.6887005465251246,0.6957640135609253,0.5507319458510835,0.3336896188230192
petya paod p1 reassessment,demonstrative,0.8727,028_petya_paod_p1_reassessment_nav.json,028_petya_paod_p1_reassessment_op.json,0.9956327377307925,0.8720890964969588,0.8401289116550146,0.8726361560100315,0.468202887261004,0.34455830857495684
petya patterns collective unconscious,demonstrative,0.6694,029_petya_patterns_collective_unconscious_nav.json,029_petya_patterns_collective_unconscious_op.json,-0.0010776700677510576,0.19956820009376486,0.48230887290009505,0.669368873486107,0.4218471451027881,0.11367248657649753
petya russia occupation criteria,demonstrative,0.2972,030_petya_russia_occupation_criteria_nav.json,030_petya_russia_occupation_criteria_op.json,-0.5628966862511113,-0.04449616043426552,0.3252376318531667,0.2972777901236512,-0.023775410201317015,0.3887935532080107
petya may29 pe reperfusion thresholds,demonstrative,0.7579,040_petya_may29_pe_reperfusion_thresholds_nav.json,040_petya_may29_pe_reperfusion_thresholds_op_gpt35_openrouter.json,-1.0191391663752967,-0.16435115525229627,0.7028487183893279,0.7578809842193657,-0.019272489080805144,-0.19347480015202834
petya may29 sepsis fluid tolerance,demonstrative,1.98,041_petya_may29_sepsis_fluid_tolerance_nav.json,041_petya_may29_sepsis_fluid_tolerance_op_gpt35_openrouter.json,-2.026232862898148,-0.08692393085450156,1.9139160141645863,1.980017777446097,1.284300925720391,1.0612774866003392
petya may29 turbot calorie method,demonstrative,1.1835,042_petya_may29_turbot_calorie_method_nav.json,042_petya_may29_turbot_calorie_method_op_gpt35_openrouter.json,-1.0551745817375426,0.22342235764550544,1.2913755205435393,1.1834543090970726,0.8593624752257405,0.6635290880076212
petya may29 ai apprenticeship ladder,demonstrative,0.6071,043_petya_may29_ai_apprenticeship_ladder_nav.json,043_petya_may29_ai_apprenticeship_ladder_op_gpt35_openrouter.json,-0.7948786839848605,-0.03352642908421544,0.6069299409425497,0.607174747354108,0.7353055745528287,0.45763969258457493
petya may29 child learning discomfort,demonstrative,0.6318,044_petya_may29_child_learning_discomfort_nav.json,044_petya_may29_child_learning_discomfort_op_gpt35_openrouter.json,-0.30011661561419345,0.24969168951050413,0.6910279130681918,0.6317519344706426,0.2868073905774935,0.07251144568694556
petya may29 ai homework cognitive ownership,demonstrative,0.6429,045_petya_may29_ai_homework_cognitive_ownership_nav.json,045_petya_may29_ai_homework_cognitive_ownership_op_gpt35_openrouter.json,-0.006208326987188428,0.5952066543641745,0.8378137505606489,0.6429240517027814,0.3387329533966046,0.19741195031662073
petya may28 prime thermostat feedback clean,demonstrative,1.0464,046_petya_may28_prime_thermostat_feedback_clean_nav.json,046_petya_may28_prime_thermostat_feedback_clean_op_gpt35_openrouter.json,-1.44777686913846,-0.051950386459671094,0.9235629718004148,1.0463936399970848,0.538547730440186,0.4860324773178064
petya may28 prime immune spam filter,demonstrative,1.1443,047_petya_may28_prime_immune_spam_filter_nav.json,047_petya_may28_prime_immune_spam_filter_op_gpt35_openrouter.json,-1.5637546372820168,-0.2743099781000726,0.8331038137189672,1.144246377694035,0.7843808355498645,0.542287000073145
petya may28 prime yogurt reverse spherification,demonstrative,1.0334,048_petya_may28_prime_yogurt_reverse_spherification_nav.json,048_petya_may28_prime_yogurt_reverse_spherification_op_gpt35_openrouter.json,-0.9251799755579082,-0.008119258511774419,0.7853344248593146,1.033368597927229,0.5717828327373695,0.6472525859235532
ppv low prevalence screening,demonstrative,0.3124,049_ppv_low_prevalence_screening_nav.json,049_ppv_low_prevalence_screening_op_gpt35_openrouter.json,0.05191438412405347,0.28521507691725034,0.554663466962035,0.31241087949433677,0.16663964260163056,0.10618745633190585
lactate scvo2 resuscitation endpoints,demonstrative,0.1849,050_lactate_scvo2_resuscitation_endpoints_nav.json,050_lactate_scvo2_resuscitation_endpoints_op_gpt35_openrouter.json,-0.028421219856403113,0.053507160849658675,0.3875529807837452,0.18496059303910073,0.0642414563086291,0.09234406071701429
permissive hypotension safety boundary,demonstrative,0.2658,051_permissive_hypotension_safety_boundary_nav.json,051_permissive_hypotension_safety_boundary_op_gpt35_openrouter.json,-0.6818416146157507,-0.23518935122072726,0.24796752429786117,0.26576804624069084,0.11588590335373894,0.18272583722689362
stress dose steroids septic shock,demonstrative,0.2032,052_stress_dose_steroids_septic_shock_nav.json,052_stress_dose_steroids_septic_shock_op_gpt35_openrouter.json,-0.41961882373055026,-0.11143214207410601,0.4047196016598722,0.20323326438122535,0.07534215515927656,0.17167851728311234
competing risks cause specific hazard,demonstrative,0.2532,053_competing_risks_cause_specific_hazard_nav.json,053_competing_risks_cause_specific_hazard_op_gpt35_openrouter.json,0.25718678893810853,0.3381751386566165,0.3794073567280929,0.2531798706546837,0.3567201642479816,0.18147807220702106
tiktok preference exposure loop,demonstrative,0.909,054_tiktok_preference_exposure_loop_nav.json,054_tiktok_preference_exposure_loop_op_gpt35_openrouter.json,0.13065548787871784,0.48295731887654547,0.9987995055147021,0.9089433357463257,0.38561693585685575,0.4112212660432313
small island waste logistics,demonstrative,0.4734,055_small_island_waste_logistics_nav.json,055_small_island_waste_logistics_op_gpt35_openrouter.json,-0.5938378643204949,0.11176200176948647,0.5967462427556871,0.4734103001756438,0.38680366509103337,0.4522202615046922
restaurant reviews hype quality,demonstrative,0.438,056_restaurant_reviews_hype_quality_nav.json,056_restaurant_reviews_hype_quality_op_gpt35_openrouter.json,-1.0883020964794223,-0.25452908710950517,0.5733058704708807,0.4379701750958702,0.4190140516307288,0.2141525716984809
youth sports drug prevention infrastructure,demonstrative,-0.0379,057_youth_sports_drug_prevention_infrastructure_nav.json,057_youth_sports_drug_prevention_infrastructure_op_gpt35_openrouter.json,-0.22984775664033563,0.0466189415768703,0.17500245912360768,-0.03792175393228803,-0.09318861526904243,0.03204186406713205
home cooking delivery app convenience,demonstrative,-0.1906,058_home_cooking_delivery_app_convenience_nav.json,058_home_cooking_delivery_app_convenience_op_gpt35_openrouter.json,-0.14254318348680783,-0.09256507419734561,0.20582394388971537,-0.1906024674922442,-0.2939104250361204,-0.0018124700210648825
school phone bans attention autonomy,demonstrative,-0.1318,059_school_phone_bans_attention_autonomy_nav.json,059_school_phone_bans_attention_autonomy_op_gpt35_openrouter.json,-0.6914801674150155,-0.38401160563632963,-0.06917843241020627,-0.1318416717169697,-0.0037586633364625754,0.16374037336445113
article pair001,demonstrative,0.863,article_pair001__nav.json,article_pair001__op.json,0.6957044425571262,0.3230395790638454,0.6848440105648734,0.862991112539774,0.5987694496477829,0.020694885087724657
batch pair07 ww2 animation,demonstrative,0.5032,batch_pair07_ww2_animation__nav.json,batch_pair07_ww2_animation__op.json,1.1635888739013325,0.4444712412375811,0.38892518462702697,0.5032393890009423,0.25118695824721726,-0.1180468138101709
batch pair08 projectile collision,demonstrative,0.8985,batch_pair08_projectile_collision__nav.json,batch_pair08_projectile_collision__op.json,-1.1883218644849958,-0.48065542115047144,0.4589952278643743,0.8985528680717785,0.7420590077471836,0.3116045162501706
hpv malaysia 3p5,demonstrative,0.0535,hpv_malaysia_3p5__nav.json,hpv_malaysia_3p5__op.json,1.3395337427812866,0.6474773320396441,0.23561293735627942,0.05353730825576264,-0.7178669360301093,-1.3521140321253284
