topic,group,feat_diff,err_diff,node_diff,edge_diff,nav_nodes,op_nodes,nav_edges,op_edges,nav_err_share_lmean,err_zero_nav,err_zero_op
petya paod prioritization,demonstrative,0.6957640135609253,,30,771,783,753,78323,77552,12.162962962962963,270,259
petya paod p1 reassessment,demonstrative,0.8726361560100315,,-43,-11383,747,790,72962,84345,12.41263940520446,269,276
petya patterns collective unconscious,demonstrative,0.669368873486107,,-178,-43458,690,868,64739,108197,11.823293172690763,249,311
petya russia occupation criteria,demonstrative,0.2972777901236512,,-42,-16549,732,774,61918,78467,12.148409893992932,283,277
petya may29 pe reperfusion thresholds,demonstrative,0.7578809842193657,,-156,-46997,606,762,43519,90516,11.944223107569721,251,219
petya may29 sepsis fluid tolerance,demonstrative,1.980017777446097,,-148,-57734,602,750,26300,84034,11.258620689655173,348,213
petya may29 turbot calorie method,demonstrative,1.1834543090970726,,-102,-30674,534,636,34978,65652,12.339130434782609,230,164
petya may29 ai apprenticeship ladder,demonstrative,0.607174747354108,,-1,-10760,610,611,56532,67292,12.136363636363637,198,150
petya may29 child learning discomfort,demonstrative,0.6317519344706426,,-135,-21068,714,849,68606,89674,12.207692307692307,260,303
petya may29 ai homework cognitive ownership,demonstrative,0.6429240517027814,,-168,-38897,657,825,53954,92851,12.27155172413793,232,279
petya may28 prime thermostat feedback clean,demonstrative,1.0463936399970848,,-325,-62294,578,903,44225,106519,12.278538812785389,219,287
petya may28 prime immune spam filter,demonstrative,1.144246377694035,,-48,-31685,577,625,38420,70105,11.963265306122448,245,155
petya may28 prime yogurt reverse spherification,demonstrative,1.033368597927229,,-190,-31579,456,646,31695,63274,12.214285714285714,140,184
ppv low prevalence screening,demonstrative,0.31241087949433677,,-50,-9314,731,781,75047,84361,12.763948497854077,233,251
lactate scvo2 resuscitation endpoints,demonstrative,0.18496059303910073,,119,15119,793,674,82161,67042,12.515679442508711,287,185
permissive hypotension safety boundary,demonstrative,0.26576804624069084,,-70,-12032,742,812,75042,87074,12.459349593495935,246,227
stress dose steroids septic shock,demonstrative,0.20323326438122535,,7,-11065,783,776,77747,88812,12.87017543859649,285,207
competing risks cause specific hazard,demonstrative,0.2531798706546837,,-9,264,781,790,80658,80394,12.328467153284672,274,273
tiktok preference exposure loop,demonstrative,0.9089433357463257,,-56,-17855,673,729,65754,83609,12.69098712446352,233,205
small island waste logistics,demonstrative,0.4734103001756438,,-36,-22873,596,632,50667,73540,12.057692307692308,208,136
restaurant reviews hype quality,demonstrative,0.4379701750958702,,36,-13736,691,655,73955,87691,12.278761061946902,226,121
youth sports drug prevention infrastructure,demonstrative,-0.03792175393228803,,144,5165,819,675,86566,81401,12.544483985765124,281,149
home cooking delivery app convenience,demonstrative,-0.1906024674922442,,131,11865,839,708,94439,82574,12.526315789473685,285,178
school phone bans attention autonomy,demonstrative,-0.1318416717169697,,73,-4099,747,674,81460,85559,12.336032388663968,247,135
article pair001,demonstrative,0.862991112539774,,-201,-53665,849,1050,88369,142034,12.546583850931677,322,420
batch pair07 ww2 animation,demonstrative,0.5032393890009423,,-35,-22738,1015,1050,122533,145271,12.36968085106383,376,413
batch pair08 projectile collision,demonstrative,0.8985528680717785,,-30,-16329,953,983,116105,132434,11.75632183908046,435,305
hpv malaysia 3p5,demonstrative,0.05353730825576264,,-242,-62751,521,763,49348,112099,12.074074074074074,135,253
pair3 v2 sql join,demonstrative,0.09507744282560537,,145,41721,979,834,120944,79223,12.3342175066313,377,350
pair4 history khajuraho,demonstrative,0.6529458115169682,,-220,-53348,654,874,53106,106454,12.189427312775331,227,303
petya authentic 3p5,demonstrative,0.5163735805827514,,-205,-54232,630,835,58501,112733,12.507109004739336,211,329
pilot pair1 prof halloween,demonstrative,1.2882749117994052,,-147,-25946,640,787,49616,75562,12.232876712328768,219,298
pilot pair2 code web explorer,demonstrative,0.6254268773314706,,61,1907,774,713,80667,78760,12.49056603773585,265,222
pilot pair2 sci traffic flow,demonstrative,0.682308819840479,,246,5458,870,624,69130,63672,12.518891687657431,397,174
pilot pair3 code hibernate inheritance,demonstrative,-1.0468746044129986,,28,29748,779,751,84462,54714,12.017316017316018,231,354
v7 02 time complexity irreducibility,grey,0.6913215573334881,,-234,-17849,701,935,88697,106546,11.407239819004525,221,330
v7 03 wartime animation propaganda,grey,-0.32906900383074955,,3,11583,834,831,90964,79381,12.649819494584838,277,362
v7 04 hibernate maven sql,grey,1.3692636963202247,,-178,-21950,652,830,80480,102430,10.926530612244898,245,290
v7 06 biological logical neurons,grey,-0.0837488805528821,,-233,-38752,699,932,68735,107487,11.146179401993356,301,313
petya carotid concise mdt,grey,-0.7375232012253186,,90,9539,722,632,59591,50052,11.7524115755627,311,269
petya patterns fractal roots,grey,-0.060982735283744205,,-483,-69413,595,1078,60574,129987,12.55625,160,398
petya russia influence opening,grey,-0.26568973161269227,,163,34978,753,590,84267,49289,12.060344827586206,232,187
petya russia independence soviet frame,grey,0.5285116521958102,,22,-7349,785,763,81013,88362,12.195402298850574,261,262
petya russia pretraining media challenge,grey,0.7102771350199824,,-48,-6432,486,534,38137,44569,12.715384615384615,130,166
petya carotid tail first principles,grey,-0.12741027419301432,,27,-152,568,541,51256,51408,12.180124223602485,161,173
petya paod prompt to case opening,grey,0.0011724726028674581,,121,30720,1054,933,135893,105173,12.254452926208652,393,368
petya paod algorithm tail,grey,0.5655671412646441,,-270,-32141,463,733,33372,65513,12.674074074074074,135,256
petya risotto constraints decision logic,grey,0.5708102633640308,,68,2612,741,673,68245,65633,12.278884462151394,251,224
batch pair01 anti joke,grey,0.24576134195318033,,-47,-19256,831,878,81405,100661,12.4874213836478,318,304
batch pair02 gcp iam,grey,0.4939365357038916,,-108,-15555,741,849,76319,91874,12.976470588235294,255,266
batch pair03 oop,grey,-0.14594498638854603,,163,19085,917,754,99812,80727,12.600515463917526,388,249
batch pair06 hibernate mappedsuperclass,grey,0.0011724726028674581,,121,30720,1054,933,135893,105173,12.254452926208652,393,368
batch pair09 latent heat,grey,0.42040592551771283,,181,48221,993,812,137137,88916,12.351421188630491,387,271
batch pair10 debroglie grav waves,grey,0.6593685107775045,,-247,-49841,672,919,76397,126238,12.40566037735849,212,279
